id;name;city;begin;system;tours_count;min_rating;time_on_game
115822;Шамкович 1959;Кордова;08.04;Olympic;6;2649;129
295460;Чемпионат мира 2008;София;12.08;circular;8;2522;131
850946;Реджо-нель-Эмилия 1960;Мерида;09.09;circular;13;2387;92
727202;Вена 1968;Санхенхо;13.06;Swiss;9;2628;140
506401;Политика 1976;Любляна;04.05;Olympic;12;2438;149
635510;Биль 1962;Льейда;27.06;Swiss;6;2205;112
164096;Биль 1982;Любляна;11.07;Swiss;10;2302;116
908316;Хогевен 1980;Таллин;13.12;circular;13;2570;69
145597;Чемпионат мира 1984;Хельсинки;20.06;circular;10;2398;23
399849;Реджо-нель-Эмилия 2009;Вильявисиоса;26.02;Swiss;13;2349;105
219985;Гран-при ФИДЕ 1953;Барселона;18.05;Olympic;6;2218;97
732706;Макартур 2001;Ла-Корунья;16.03;Olympic;13;2422;145
598012;Тилбург 1987;Махадаонда;11.05;Swiss;11;2541;144
224987;Политика 1965;Рига;16.11;circular;10;2456;96
438939;Пальма 1956;Мерида;25.10;circular;12;2442;62
460074;Чемпионат мира 2008;Лас-Росас;16.02;Olympic;11;2626;155
147122;Дортмунд 2015;Вальядолид;17.09;Olympic;8;2490;140
115923;Чемпионат мира 2004;Махадаонда;21.08;Olympic;9;2453;81
525952;Турнир претендентов 1970;Гранада;05.03;circular;6;2378;41
446641;Пальма 1997;Алькала-де-Энарес;06.04;Olympic;14;2503;83
458768;Вена 1988;Навалькарнеро;27.02;circular;8;2243;47
627337;Дортмунд 2017;Подгорица;03.11;circular;6;2497;86
151233;Пальма 2024;Краков;04.04;circular;15;2319;118
932430;Вейк-ан-Зее 1977;Мадрид;04.09;Olympic;8;2647;43
584008;Вена 1960;Кишинев;26.07;Swiss;11;2210;95
322433;Цюрих 1972;Артейхо;25.06;Olympic;13;2505;103
951727;Гашиш 1961;Виго;17.06;Olympic;13;2229;176
951614;Линарес 1963;Ереван;06.04;circular;10;2224;70
629500;Алушта 1969;Эльче;01.08;circular;15;2484;171
941813;Хогевен 1956;Подгорица;05.09;Swiss;15;2243;65
383054;Гран-при ФИДЕ 1960;Аликанте;14.10;Swiss;9;2427;43
693244;Гашиш 2010;Бишкек;17.08;Swiss;12;2627;107
984697;Вейк-ан-Зее 2000;Тудела;15.07;circular;10;2334;151
612784;Пойковский 1952;Навалькарнеро;18.06;Swiss;7;2322;144
243181;Гашиш 1970;Севилья;09.08;Olympic;8;2313;117
238119;Европа 1969;Скопье;15.01;Olympic;9;2417;34
172904;Реджо-нель-Эмилия 1973;Ла-Корунья;11.05;Swiss;9;2291;138
332647;Дортмунд 1991;Барселона;28.10;circular;6;2367;62
615218;Пальма 1992;Кадакес;06.04;Olympic;8;2557;154
736277;Мемориал Таля 1955;Тирана;07.01;circular;7;2447;137
670173;Sinquefield Cup 1996;Будапешт;25.01;Olympic;6;2361;160
474780;Аэрофлот Опен 1960;Краков;12.08;Swiss;12;2370;67
526899;Тилбург 2016;Скопье;04.04;Swiss;9;2218;175
532881;Sinquefield Cup 1974;Белград;03.11;circular;15;2587;35
280053;Чемпионат мира 1950;Пласенсия;15.01;circular;14;2586;172
619883;Вейк-ан-Зее 2022;Артейхо;13.12;Olympic;8;2312;46
462056;Пойковский 1996;Гранада;01.10;Olympic;6;2255;124
993532;Sinquefield Cup 1983;Душанбе;08.05;Olympic;14;2444;62
487664;Цюрих 2020;Рига;21.01;circular;13;2545;56
242288;Сент-Луис 1961;Загреб;07.08;circular;6;2567;61
217473;Сент-Луис 1966;Семана;07.08;circular;13;2356;81
674825;Цюрих 1961;Виго;19.01;Olympic;6;2375;48
543613;Макартур 1978;София;15.01;circular;6;2442;128
395572;Гашиш 2013;Минск;04.09;Swiss;11;2509;125
531895;Хогевен 1974;Аликанте;08.01;Olympic;12;2644;52
725589;Политика 1974;Санхенхо;10.04;circular;8;2200;141
302685;Тилбург 2016;Будапешт;16.06;circular;11;2256;73
412339;Сент-Луис 2006;Бургос;20.11;Olympic;13;2301;145
630321;Пальма 1967;Эльче;06.02;circular;14;2373;16
217377;Лондон 1961;Вальядолид;20.06;Swiss;7;2600;56
636040;Чемпионат мира 2014;Лас-Росас;18.04;Swiss;13;2598;148
944166;Хогевен 1994;Будапешт;13.05;Olympic;10;2541;179
755381;Сент-Луис 1957;Камбадос;05.10;Olympic;10;2262;169
865017;Пальма 2009;Будапешт;01.02;circular;6;2269;104
486420;Биль 2017;Скопье;18.07;Olympic;15;2400;71
371834;Sinquefield Cup 1967;Варшава;18.04;circular;9;2454;56
389862;Макартур 2021;Пласенсия;15.11;circular;14;2221;45
